Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
  Health Associate Professionals,321,63,22235,,23436,,10913,15959,17618,18640,20545,24212,25823,27077,28926,x
   Dispensing opticians,3211,x,24736,,23960,,x,x,x,x,23560,25788,x,x,x,x
   Pharmaceutical technicians,3212,24,21701,,22177,,x,14309,15900,17597,19715,23233,25506,26801,x,x
   Medical and dental technicians,3213,24,22856,,26083,,x,19487,19858,20632,21761,24316,26870,28889,x,x
   Complementary health associate professionals,3214,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Health associate professionals n.e.c.,3219,x,18348,,20730,,x,x,x,x,x,x,x,x,x,x
  Welfare and Housing Associate Professionals,322,346,23527,,23246,,9981,14847,16796,18694,21199,25556,27443,28672,29725,33448
   Youth and community workers,3221,105,23200,,21844,,6834,12063,13775,16074,20057,25795,27418,28666,29629,x
   Child and early years officers,3222,50,23531,,22739,,12329,16070,17116,19111,21331,25337,26464,27442,28500,x
   Housing officers,3223,46,27100,,27240,,15256,21104,21821,23346,25518,29160,30649,31346,32582,x
   Counsellors,3224,19,22859,,28527,,x,x,14665,18343,20638,24815,27243,x,x,x
   Welfare and housing associate professionals n.e.c.,3229,127,22870,,22348,,10140,14816,16601,18111,20255,24426,26607,27387,28526,x
  Teaching and Childcare Associate Professionals,323,165,14973,,15153,,7175,9254,10350,11378,13364,16969,18426,19403,20374,23013
   Higher level teaching assistants,3231,45,18203,,17589,,x,12895,14378,15331,16861,19987,21730,22307,22945,x
   Early education and childcare practitioners,3232,120,13848,,14250,,6918,8906,9601,10693,12258,15329,17476,18143,18870,x
  Veterinary nurses,324,28,18909,,19144,,x,12744,14314,15899,17805,21186,23092,23785,24929,x
   Veterinary nurses,3240,28,18909,,19144,,x,12744,14314,15899,17805,21186,23092,23785,24929,x
 Protective service occupations,33,339,39712,,38835,,25139,29443,31299,32827,35957,41726,44309,45839,47439,52389
  Protective Service Occupations,331,339,39712,,38835,,25139,29443,31299,32827,35957,41726,44309,45839,47439,52389
   Non-commissioned officers and other ranks,3311,:,,,,,,,,,,,,,,
   Police officers (sergeant and below),3312,235,41723,,41077,,27622,31071,32982,35644,40139,43955,46171,47398,48840,53370
   Fire service officers (watch manager and below),3313,57,34768,,33429,,8983,26307,30857,32064,33438,37285,39713,40574,41288,x
   Prison service officers (below principal officer),3314,24,29734,,30834,,17617,24509,25144,26078,26953,33059,34412,35356,x,x
   Protective service associate professionals n.e.c.,3319,23,33050,,37690,,22988,25764,26699,28511,31097,35893,38732,x,x,x
" Culture, media and sports occupations",34,183,22062,,x,,2676,6981,9021,10828,16828,26048,29647,32160,34989,x
"  Artistic, Literary and Media Occupations",341,57,27876,,32751,,x,16494,20064,21824,24898,31118,35041,37830,x,x
   Artists,3411,x,x,,28544,,x,x,x,x,x,x,x,x,x,x
"   Authors, writers and translators",3412,15,28523,,34429,,x,22207,22712,23571,26365,32158,x,x,x,x
"   Actors, entertainers and presenters",3413,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Dancers and choreographers,3414,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Musicians,3415,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Arts officers, producers and directors",3416,13,37372,,45827,,x,x,x,27939,32660,x,x,x,x,x
"   Photographers, audio-visual and broadcasting equipment operators",3417,13,24684,,25236,,x,16935,19350,19671,22400,26053,x,x,x,x
  Design Occupations ,342,43,29364,,31174,,x,22480,23277,24961,27700,32316,34995,37091,39140,x
   Interior designers,3421,27,29431,,30884,,x,21372,22970,25731,28078,31967,34678,35824,x,x
"   Clothing, fashion and accessories designers",3422,x,32543,,31479,,x,x,x,x,x,34747,x,x,x,x
   Design occupations n.e.c.,3429,11,27961,,31727,,x,x,x,24946,26429,x,x,x,x,x
  Sports and Fitness Occupations,343,83,10208,,x,,x,2689,x,4804,7232,13609,17725,19381,22086,x
   Sports players,3431,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Sports coaches, instructors and officials",3432,49,9334,,12258,,900,x,x,x,x,x,16994,18657,x,x
   Fitness and wellbeing instructors,3433,25,x,,11484,,x,x,x,x,x,x,15607,x,x,x
 Business and public service associate professionals,35,1766,32075,,37620,,17258,22072,24000,25529,28841,35747,40574,43618,47838,61741
  Transport Associate Professionals,351,12,55197,,64613,,x,36677,40619,42925,53082,62715,x,x,x,x
   Aircraft pilots and air traffic controllers,3511,10,62058,,69728,,x,x,47742,51812,55162,69395,x,x,x,x
   Ship and hovercraft officers,3512,x,x,,45140,,x,x,x,x,x,x,x,x,x,x
  Legal Associate Professionals,352,37,28238,,32919,,15418,19998,20997,22555,25348,29591,32616,35220,x,x
   Legal associate professionals,3520,37,28238,,32919,,15418,19998,20997,22555,25348,29591,32616,35220,x,x
  Finance Associate Professionals,353,195,35152,,42101,,17476,23619,25786,27849,31445,40495,45872,48386,52466,x
   Brokers,3531,11,x,,50587,,x,x,x,x,x,x,x,x,x,x
   Insurance underwriters,3532,17,33226,,44964,,x,23683,27266,28126,30156,37395,x,x,x,x
   Financial and accounting technicians,3533,35,38158,,39978,,18594,23981,26287,28591,32269,41873,47003,49273,53293,x
   Financial accounts managers,3534,132,35000,,41608,,17057,23412,25594,27654,31251,39829,45008,46923,50360,x
  Business Associate Professionals,354,274,28600,,31891,,15134,20092,21724,22987,25556,30804,34457,36499,39134,48936
"   Estimators, valuers and assessors",3541,53,30187,,34322,,15831,22181,23856,24542,27051,31926,36730,38883,42302,x
   Importers and exporters,3542,x,x,,33852,,x,x,x,x,x,x,x,x,x,x
   Project support officers,3543,40,26111,,28338,,x,x,x,x,24209,29044,x,x,x,x
   Data analysts,3544,107,30406,,32360,,18572,22178,23723,25412,28659,32976,36249,37978,41091,x
   Business associate professionals n.e.c.,3549,71,24384,,31328,,12851,16963,x,19927,21748,26903,30348,32899,35882,x
"  Sales, Marketing and Related Associate Professionals",355,834,35007,,41393,,18798,23357,25100,26991,30396,39528,45866,49247,54410,69744
   Buyers and procurement officers,3551,46,30587,,33259,,21428,23955,25084,26330,28864,33616,36326,37378,39773,x
   Business sales executives,3552,164,32611,,37289,,18200,23184,24819,26345,29416,36392,40724,43920,46162,x
   Merchandisers ,3553,15,19656,,20430,,x,x,x,15674,17776,22613,25212,x,x,x
   Marketing associate professionals,3554,146,25997,,28908,,13838,19009,20314,21976,23834,28501,31098,33341,35831,x
   Estate agents and auctioneers,3555,31,22431,,24029,,9509,11960,14206,18376,21000,25696,27280,29248,x,x
   Sales accounts and business development managers,3556,401,45000,,51819,,24791,30318,33296,35399,39901,49654,57298,62102,67411,85707
   Events managers and organisers,3557,31,24329,,26632,,x,20142,20610,21280,22180,27157,29537,30000,x,x
